PointID,X,Y,Z
388,0.0025,-0.00433013,0.006875
389,0.0025,-0.00433013,0.0075
390,0.0025,-0.00433013,0.008125
391,0.0025,-0.00433013,0.00875
392,0.0025,-0.00433013,0.009375
393,0.0025,-0.00433013,0.01
394,0.0025,-0.00433013,0.010625
395,0.0025,-0.00433013,0.01125
396,0.00353553,-0.00353553,0.000625
397,0.00353553,-0.00353553,0.00125
398,0.00353553,-0.00353553,0.001875
399,0.00353553,-0.00353553,0.0025
400,0.00353553,-0.00353553,0.003125
401,0.00353553,-0.00353553,0.00375
402,0.00353553,-0.00353553,0.004375
403,0.00353553,-0.00353553,0.005
404,0.00353553,-0.00353553,0.005625
405,0.00353553,-0.00353553,0.00625
406,0.00353553,-0.00353553,0.006875
407,0.00353553,-0.00353553,0.0075
408,0.00353553,-0.00353553,0.008125
409,0.00353553,-0.00353553,0.00875
410,0.00353553,-0.00353553,0.009375
411,0.00353553,-0.00353553,0.01
412,0.00353553,-0.00353553,0.010625
413,0.00353553,-0.00353553,0.01125
414,0.00433013,-0.0025,0.000625
415,0.00433013,-0.0025,0.00125
416,0.00433013,-0.0025,0.001875
417,0.00433013,-0.0025,0.0025
418,0.00433013,-0.0025,0.003125
419,0.00433013,-0.0025,0.00375
420,0.00433013,-0.0025,0.004375
421,0.00433013,-0.0025,0.005
422,0.00433013,-0.0025,0.005625
423,0.00433013,-0.0025,0.00625
424,0.00433013,-0.0025,0.006875
425,0.00433013,-0.0025,0.0075
426,0.00433013,-0.0025,0.008125
427,0.00433013,-0.0025,0.00875
428,0.00433013,-0.0025,0.009375
429,0.00433013,-0.0025,0.01
430,0.00433013,-0.0025,0.010625
431,0.00433013,-0.0025,0.01125
432,0.00433013,-0.0025,0.011875
433,0.00433013,-0.0025,0.0125
434,0.00482963,-0.0012941,0.000625
435,0.00482963,-0.0012941,0.00125
436,0.00482963,-0.0012941,0.001875
437,0.00482963,-0.0012941,0.0025
438,0.00482963,-0.0012941,0.003125
439,0.00482963,-0.0012941,0.00375
440,0.00482963,-0.0012941,0.004375
441,0.00482963,-0.0012941,0.005
442,0.00482963,-0.0012941,0.005625
443,0.00482963,-0.0012941,0.00625
444,0.00482963,-0.0012941,0.006875
445,0.00482963,-0.0012941,0.0075
446,0.00482963,-0.0012941,0.008125
447,0.00482963,-0.0012941,0.00875
448,0.00482963,-0.0012941,0.009375
449,0.00482963,-0.0012941,0.01
450,0.00482963,-0.0012941,0.010625
451,0.00482963,-0.0012941,0.01125
452,0.00482963,-0.0012941,0.011875
453,0.00482963,-0.0012941,0.0125
